borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,timestamp,latitude,longitude,location,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
,Driver Inattention/Distraction,Unspecified,,,,,2014-09-11T18:45:00,,,,0,0,0,0,0,0,0,0,(LOT)119-01 SUTPHIN BOULEVARD           ,,1023050,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fell Asleep,Fell Asleep,,,,,2014-09-11T09:30:00,,,,0,0,0,0,0,0,0,0,PARKING LOT 30-50 WHITESTONE EXPRESSWAY ,,1022498,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,EAST HOUSTON STREET             ,2014-09-23T13:15:00,,,,0,0,0,0,0,0,0,0,,2 AVENUE                        ,1028054,PICK-UP TRUCK,TAXI,,,,
,Unspecified,Unspecified,,,,,2014-09-15T09:08:00,,,,0,0,0,0,0,0,0,0,CRESCENT STREET                         ,,1025763,PASSENGER VEHICLE,OTHER,,,,
,Pavement Slippery,,,,,SHORE PARKWAY                   ,2014-08-03T07:08:00,,,,0,0,0,0,0,0,0,0,,OCEAN PARKWAY                   ,1003355,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,98 STREET                       ,2014-08-02T15:15:00,,,,0,0,0,0,0,0,0,0,,CORONA AVENUE                   ,1003083,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Illness,,,,,,2014-08-14T13:00:00,,,,0,0,0,0,0,0,0,0,P/L OF 1919 HYLAN BOULEVARD             ,,1008749,PASSENGER VEHICLE,,,,,
,Driver Inattention/Distraction,Unspecified,,,,163 STREET                      ,2014-08-27T10:45:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,1014726,PASSENGER VEHICLE,LIVERY VEHICLE,,,,
,Drugs (Illegal),Fatigued/Drowsy,Unspecified,,,,2014-08-26T20:12:00,,,,0,0,0,0,0,0,0,0,,,2928110,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,VICTORY BOULEVARD               ,2014-08-22T15:05:00,,,,0,0,0,0,0,0,0,0,,BAY STREET                      ,1012440,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,52 STREET                       ,2014-08-29T18:15:00,,,,0,0,0,0,0,0,0,0,,SKILLMAN AVENUE                 ,1016152,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Other Electronic Device,,,,,PARKCHESTER ROAD                ,2014-07-28T11:20:00,,,,0,0,0,0,0,0,0,0,,EAST AVENUE                     ,999786,PASSENGER VEHICLE,,,,,
,Driver Inattention/Distraction,Unspecified,,,,HAMILTON AVENUE                 ,2014-07-31T18:00:00,,,,0,0,0,0,0,0,0,0,,WOODHULL STREET                 ,1002019,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Unspecified,,,,,2014-07-29T18:34:00,,,,0,0,0,0,0,0,0,0,,,2829713,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,KISSENA BOULEVARD               ,2014-07-29T09:26:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,1000580,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,,,,,VELTMAN AVENUE                  ,2014-07-18T19:50:00,,,,0,0,1,0,0,0,1,0,,JEWETT AVENUE                   ,996122,PASSENGER VEHICLE,,,,,
,Fatigued/Drowsy,Unspecified,,,,,2014-07-18T20:26:00,,,,0,0,0,0,0,0,0,0,,,2873667,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2014-07-14T12:50:00,,,,0,0,0,0,0,0,0,0,28 BAY 26 STREET(SHARED DRIVEWAY)       ,,627844,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,3 AVENUE                        ,2014-07-19T11:00:00,,,,0,0,0,0,0,0,0,0,,PROSPECT AVENUE                 ,995500,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,136 STREET                      ,2014-07-11T10:00:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,364267,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,,
,Unspecified,Unspecified,,,,COLLEGE POINT BOULEVARD         ,2014-07-22T10:34:00,,,,0,0,0,0,0,0,0,0,,31 AVENUE                       ,997079,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,QUEENS BOULEVARD                ,2014-07-25T03:05:00,,,,0,0,0,0,0,0,0,0,,VANDAM STREET                   ,998572,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,EAST 138 STREET                 ,2014-07-23T13:11:00,,,,0,0,0,0,0,0,0,0,,BRUCKNER BOULEVARD              ,997294,SMALL COM VEH(4 TIRES) ,SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Fatigued/Drowsy,,,,HORACE HARDING EXPRESSWAY       ,2014-07-08T09:35:00,,,,0,0,1,0,0,0,1,0,,JUNCTION BOULEVARD              ,903943,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,Unspecified,Unspecified,,,CEDARWOOD COURT                 ,2014-06-16T07:55:00,,,,0,0,2,0,0,0,2,0,,ANDREA PLACE                    ,352697,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Other Vehicular,Other Vehicular,,,,,2014-06-23T13:10:00,,,,0,0,0,0,0,0,0,0,,,2849625,SPORT UTILITY / STATION WAGON,SMALL COM VEH(4 TIRES) ,,,,
,Driver Inexperience,,,,,FULTON STREET                   ,2014-06-23T10:02:00,,,,0,0,0,0,1,0,1,0,,WATER STREET                    ,356108,PASSENGER VEHICLE,,,,,
,Backing Unsafely,Unspecified,,,,12 AVENUE                       ,2014-06-10T23:30:00,,,,0,0,0,0,0,0,0,0,,WEST 125 STREET                 ,350745,VAN,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,QUEENS PLAZA NORTH              ,2014-06-16T15:40:00,,,,1,0,0,0,0,0,1,0,,21 STREET                       ,353205,SPORT UTILITY / STATION WAGON,BICYCLE,,,,
,Unspecified,Unspecified,,,,AUSTIN STREET                   ,2014-06-30T09:31:00,,,,0,0,0,0,0,0,0,0,,UNION TURNPIKE                  ,360462,SPORT UTILITY / STATION WAGON,VAN,,,,
,Unspecified,Unspecified,,,,,2014-06-14T21:30:00,,,,0,0,0,0,0,0,0,0,PARKING LOT ST BARNABAS 4422 3 AVENUE   ,,351873,SPORT UTILITY / STATION WAGON,AMBULANCE,,,,
,Unspecified,Unspecified,,,,,2014-06-05T19:33:00,,,,0,0,0,0,0,0,0,0,,,347164,PASSENGER VEHICLE,UNKNOWN,,,,
,Backing Unsafely,Unspecified,,,,,2014-06-13T16:00:00,,,,0,0,0,0,0,0,0,0,PARKING LOT 104-25 QUEENS BLVD          ,,351603,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Turning Improperly,Unspecified,,,,WHITESTONE EXPRESSWAY           ,2014-06-14T11:11:00,,,,0,0,0,0,0,0,0,0,,LINDEN PLACE                    ,351574,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inexperience,Failure to Yield Right-of-Way,,,,WESTCHESTER AVENUE              ,2014-05-11T12:45:00,,,,0,0,0,0,0,0,0,0,,HUGH GRANT CIRCLE               ,333386,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Traffic Control Disregarded,Unspecified,,,,,2014-05-31T21:00:00,,,,0,0,1,0,0,0,1,0,,,3102696,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,EINSTEIN LOOP                   ,2014-05-14T10:00:00,,,,0,0,0,0,0,0,0,0,,ELGAR PLACE                     ,335028,PASSENGER VEHICLE,UNKNOWN,,,,
,Lost Consciousness,Unspecified,,,,WOODSIDE AVENUE                 ,2014-05-12T16:45:00,,,,0,0,0,0,0,0,0,0,,74 STREET                       ,335309,SMALL COM VEH(4 TIRES) ,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,,,,,EAST 138 STREET                 ,2014-05-31T19:40:00,,,,0,0,0,0,0,0,0,0,,BRUCKNER BOULEVARD              ,344296,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,MORANI STREET                   ,2014-05-30T12:20:00,,,,0,0,0,0,0,0,0,0,,VICTORY BOULEVARD               ,344153,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
,Unspecified,Unspecified,,,,147 AVENUE                      ,2014-02-17T17:00:00,,,,0,0,0,0,0,0,0,0,,181 STREET                      ,227654,OTHER,OTHER,,,,
,Unspecified,Unspecified,Unspecified,,,,2014-04-21T16:05:00,,,,0,0,0,0,0,0,0,0,,,3107478,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,,,,,56 STREET                       ,2014-04-16T22:38:00,,,,0,0,0,0,0,0,0,0,,17 AVENUE                       ,321187,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,,2014-04-18T18:30:00,,,,0,0,0,0,0,0,0,0,PL OF 1756 FOREST AVENUE               ,,324484,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,,2014-05-03T14:20:00,,,,0,0,0,0,0,0,0,0,,,2976824,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,,,,,,2014-04-13T20:30:00,,,,0,0,0,0,1,0,1,0,HURON STREET                            ,,335189,SPORT UTILITY / STATION WAGON,,,,,
,Unspecified,Unspecified,,,,,2014-04-17T15:26:00,,,,0,0,0,0,0,0,0,0,,,2958099,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,232 STREET                      ,2014-05-03T19:30:00,,,,0,0,0,0,0,0,0,0,,NORTHERN BOULEVARD              ,329641,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Fatigued/Drowsy,,,,,2014-04-15T18:10:00,,,,0,0,0,0,0,0,0,0,,,2879831,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,,2014-04-25T16:30:00,,,,0,0,0,0,0,0,0,0,,,2873567,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,7 AVENUE                        ,2014-04-01T08:25:00,,,,0,0,0,0,0,0,0,0,,BAY RIDGE PARKWAY               ,313635,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,,,,,EAST 3 STREET                   ,2014-04-01T10:30:00,,,,0,0,0,0,0,0,0,0,,18 AVENUE                       ,313643,SPORT UTILITY / STATION WAGON,VAN,,,,
,Unspecified,Unspecified,,,,THIRD AVENUE                    ,2014-04-02T08:00:00,,,,0,0,0,0,0,0,0,0,,EAST 138 STREET                 ,314049,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,WEST TREMONT AVENUE             ,2014-03-20T04:55:00,,,,0,0,0,0,0,0,0,0,,GRAND AVENUE                    ,308368,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,,2014-03-07T15:30:00,,,,0,0,3,0,0,0,3,0,,,2897818,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,,
,Unspecified,Unspecified,,,,,2014-03-18T17:00:00,,,,0,0,0,0,0,0,0,0,7811 FLATLANDS AVE (PARKING LOT)        ,,305838,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Oversized Vehicle,Turning Improperly,,,,,2014-03-26T11:30:00,,,,0,0,0,0,0,0,0,0,,,2897854,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,,
,Other Electronic Device,Fatigued/Drowsy,,,,SOUTH 4 STREET                  ,2014-03-30T22:40:00,,,,0,0,0,0,0,0,0,0,,HAVEMEYER STREET                ,779433,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Prescription Medication,,,,,WESTCHESTER AVENUE              ,2014-03-26T13:45:00,,,,0,0,0,0,0,0,0,0,,WHITE PLAINS ROAD               ,311663,PICK-UP TRUCK,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,GRAND CENTRAL PARKWAY           ,2014-03-24T15:00:00,,,,0,0,0,0,0,0,0,0,,MAIN STREET                     ,310897,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,FOREST AVENUE                   ,2014-02-12T09:20:00,,,,0,0,0,0,0,0,0,0,,MORNINGSTAR ROAD                ,292879,SPORT UTILITY / STATION WAGON,UNKNOWN,,,,
,Pavement Slippery,Unspecified,,,,HICKS STREET                    ,2014-02-17T10:45:00,,,,0,0,0,0,0,0,0,0,,PRESIDENT STREET                ,172468,SPORT UTILITY / STATION WAGON,TAXI,,,,
,Unspecified,Unspecified,,,,BRUCKNER BOULEVARD              ,2014-02-10T12:38:00,,,,0,0,0,0,0,0,0,0,,EAST 138 STREET                 ,76019,PASSENGER VEHICLE,UNKNOWN,,,,
,Fatigued/Drowsy,Unspecified,,,,KENT AVENUE                     ,2014-02-24T19:30:00,,,,0,0,1,0,0,0,1,0,,WILLIAMSBURG STREET WEST        ,198026,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,DERUYTER PLACE                  ,2014-02-28T09:20:00,,,,0,0,0,0,0,0,0,0,,MAPLE PARKWAY                   ,293040,SPORT UTILITY / STATION WAGON,UNKNOWN,,,,
,Driver Inattention/Distraction,Unspecified,,,,SHERIDAN AVENUE                 ,2014-03-01T16:30:00,,,,0,0,0,0,0,0,0,0,,MT EDEN PARKWAY                 ,88468,AMBULANCE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,HUDSON STREET                   ,2014-02-18T18:30:00,,,,0,0,0,0,0,0,0,0,,CANAL STREET                    ,5092,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,94 STREET                       ,2014-02-17T07:20:00,,,,0,0,0,0,0,0,0,0,,ROOSEVELT AVENUE                ,259213,LIVERY VEHICLE,UNKNOWN,,,,
,Unspecified,,,,,63 DRIVE                        ,2014-01-31T10:15:00,,,,0,0,0,0,1,0,1,0,,QUEENS BOULEVARD                ,267846,LIVERY VEHICLE,,,,,
,Illness,Unspecified,,,,ELK STREET                      ,2014-01-15T13:00:00,,,,1,0,0,0,0,0,1,0,,READE STREET                    ,9103,PASSENGER VEHICLE,BICYCLE,,,,
,Unspecified,Unspecified,,,,MORNINGSIDE AVENUE              ,2014-01-24T14:35:00,,,,0,0,0,0,0,0,0,0,,WEST 125 STREET                 ,63483,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,BOSTON ROAD                     ,2014-01-24T09:00:00,,,,0,0,0,0,0,0,0,0,,PELHAM PARKWAY NORTH            ,106564,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2013-12-19T21:25:00,,,,0,0,0,0,0,0,0,0,,,3018053,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,View Obstructed/Limited,Unspecified,,,,,2013-12-12T08:30:00,,,,0,0,0,0,0,0,0,0,,,2889359,OTHER,PASSENGER VEHICLE,,,,
,Turning Improperly,Unspecified,,,,149 AVENUE                      ,2013-12-04T16:00:00,,,,0,0,0,0,0,0,0,0,,NORTH CONDUIT AVENUE            ,232307,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,VANWYCK EXPRESSWAY              ,2013-12-04T11:40:00,,,,0,0,0,0,0,0,0,0,,ATLANTIC AVENUE                 ,207898,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,252 STREET                      ,2013-11-11T16:40:00,,,,0,0,0,0,0,0,0,0,,UNION TURNPIKE                  ,226203,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,WALL STREET                     ,2013-11-28T01:20:00,,,,0,0,0,0,0,0,0,0,,SAINT MARKS PLACE               ,289866,PASSENGER VEHICLE,UNKNOWN,,,,
,Passenger Distraction,Fatigued/Drowsy,,,,30 STREET                       ,2013-11-22T14:40:00,,,,0,0,0,0,0,0,0,0,,BORDEN AVENUE                   ,244273,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2013-11-18T12:00:00,,,,0,0,0,0,0,0,0,0,(PARKING LOT#3) 2800 VICTORY BOULEVARD  ,,292021,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,BROOKVILLE BOULEVARD            ,2013-11-12T10:00:00,,,,0,0,0,0,0,0,0,0,,ROCKAWAY BOULEVARD              ,226215,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,WILLOUGHBY AVENUE               ,2013-11-21T15:50:00,,,,0,0,0,0,0,0,0,0,,NOSTRAND AVENUE                 ,182103,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,EAST 188 STREET                 ,2013-11-05T17:14:00,,,,0,0,0,0,0,0,0,0,,3 AVENUE                        ,102155,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,,,,,,2013-09-07T18:30:00,,,,0,0,0,0,0,0,0,0,PARKING LOT 135-20 32 AVE.              ,,252073,PASSENGER VEHICLE,,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2013-10-08T22:30:00,,,,0,0,1,0,0,0,1,0,,,2927658,TAXI,LARGE COM VEH(6 OR MORE TIRES),,,,
,,,,,,BROOKVILLE BOULEVARD            ,2013-10-28T06:16:00,,,,0,0,0,0,0,0,0,0,,ROCKAWAY BOULEVARD              ,225976,PASSENGER VEHICLE,,,,,
,Traffic Control Disregarded,Unspecified,,,,,2013-10-21T16:10:00,,,,0,0,1,0,0,0,1,0,3555 VICTORY BOULEVARD                  ,,291738,VAN,PASSENGER VEHICLE,,,,
,Unspecified,,,,,BOWERY                          ,2013-10-13T02:00:00,,,,0,0,0,0,0,0,0,0,,CANAL STREET                    ,8549,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,
,Backing Unsafely,Unspecified,,,,73 AVENUE                       ,2013-10-11T13:50:00,,,,0,0,0,0,0,0,0,0,,KISSENA BOULEVARD               ,237099,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,Unspecified,Unspecified,,,,2013-09-17T16:02:00,,,,0,0,1,0,0,0,1,0,,,2834099,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,CORTELYOU ROAD                  ,2013-09-25T22:29:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,151012,VAN,PASSENGER VEHICLE,,,,
,Backing Unsafely,Unspecified,,,,WALKER STREET                   ,2013-09-20T09:15:00,,,,0,0,0,0,0,0,0,0,,VAN PELT AVENUE                 ,291451,SPORT UTILITY / STATION WAGON,OTHER,,,,
,Backing Unsafely,Unspecified,,,,,2013-09-15T11:03:00,,,,0,0,0,0,0,0,0,0,P/L OF 242-02 61 AVENUE                 ,,262697,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,BOSTON ROAD                     ,2013-09-25T17:13:00,,,,0,0,0,0,0,0,0,0,,BRONX PARK EAST                 ,105784,VAN,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,,,,,,2013-09-21T11:20:00,,,,0,0,0,0,0,0,0,0,,,2934478,PASSENGER VEHICLE,,,,,
,Driver Inattention/Distraction,Unspecified,,,,35 STREET                       ,2013-10-05T02:15:00,,,,0,0,0,0,0,0,0,0,,BORDEN AVENUE                   ,243690,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,Unspecified,,,BROOKVILLE BOULEVARD            ,2013-10-06T08:13:00,,,,0,0,2,0,0,0,2,0,,ROCKAWAY BOULEVARD              ,225645,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Fatigued/Drowsy,Traffic Control Disregarded,Driver Inattention/Distraction,Unspecified,,,2013-08-24T19:34:00,,,,0,0,0,0,0,0,0,0,,,2957747,PASSENGER VEHICLE,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,,
,Unspecified,Unspecified,,,,,2013-08-14T06:20:00,,,,0,0,0,0,0,0,0,0,940 REMSEN AVE (HIT GATE)               ,,146526,BUS,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,,2013-08-17T10:30:00,,,,0,0,0,0,0,0,0,0,N/B FLATBUSH AVE @ GRAND ARMY PLAZA     ,,178200,PASSENGER VEHICLE,UNKNOWN,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2013-08-16T13:28:00,,,,0,0,0,0,0,0,0,0,,,2919154,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,137 AVENUE                      ,2013-08-23T09:10:00,,,,0,0,1,0,0,0,1,0,,BROOKVILLE BOULEVARD            ,225043,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,,,,,HOYT AVENUE SOUTH               ,2013-08-17T02:30:00,,,,0,0,0,0,1,0,1,0,,21 STREET                       ,277083,TAXI,,,,,
,Unspecified,Unspecified,,,,EAST 187 STREET                 ,2013-08-28T19:35:00,,,,0,0,0,0,0,0,0,0,,WEBSTER AVENUE                  ,101834,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,VAN WYCK EXPRESSWAY             ,2013-08-08T10:14:00,,,,0,0,0,0,0,0,0,0,,PARK DRIVE EAST                 ,236493,PASSENGER VEHICLE,UNKNOWN,,,,
,Turning Improperly,Unspecified,,,,,2013-07-23T09:00:00,,,,0,0,0,0,0,0,0,0,,,2864805,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2013-08-03T18:05:00,,,,0,0,0,0,0,0,0,0,PARKING LOT OF 1781 ARTHUR KILL RD      ,,303092,PASSENGER VEHICLE,PICK-UP TRUCK,,,,
,Unspecified,,,,,,2013-07-18T07:05:00,,,,0,0,0,0,0,0,0,0,STOREFRONT 136-13 41 AVE                ,,251325,PASSENGER VEHICLE,,,,,
,Pavement Slippery,,,,,,2013-08-01T12:05:00,,,,0,0,0,0,0,0,0,0,,,3045708,TAXI,,,,,
,Unspecified,Unspecified,Unspecified,,,UNION TURNPIKE                  ,2013-07-18T16:23:00,,,,0,0,0,0,0,0,0,0,,WOODHAVEN BOULEVARD             ,217057,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
,Unspecified,Unspecified,,,,,2013-07-25T22:45:00,,,,0,0,0,0,0,0,0,0,,,3090202,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Alcohol Involvement,,,,,SHORE PARKWAY                   ,2013-06-15T02:01:00,,,,0,0,1,0,0,1,1,1,,BRAGG STREET                    ,119222,SPORT UTILITY / STATION WAGON,,,,,
,Unspecified,Unspecified,,,,,2013-06-22T01:05:00,,,,0,0,0,0,0,0,0,0,,,2957654,PASSENGER VEHICLE,PICK-UP TRUCK,,,,
,Unspecified,,,,,EAST GUN HILL ROAD              ,2013-06-26T00:20:00,,,,0,0,0,0,0,0,0,0,,PEARSALL AVENUE                 ,97804,SPORT UTILITY / STATION WAGON,,,,,
,Unspecified,Unspecified,,,,METROPOLITAN AVENUE             ,2013-06-20T21:30:00,,,,0,0,3,0,0,0,3,0,,UNION TURNPIKE                  ,266294,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Lost Consciousness,Unspecified,,,,3 AVENUE                        ,2013-06-15T19:35:00,,,,0,0,0,0,0,0,0,0,,EAST 135 STREET                 ,74615,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Turning Improperly,Unspecified,,,,,2013-06-12T16:45:00,,,,0,0,0,0,0,0,0,0,,,2913237,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,155 STREET                      ,2013-05-20T08:58:00,,,,0,0,0,0,0,0,0,0,,140 AVENUE                      ,270251,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,,2013-05-28T19:00:00,,,,0,0,0,0,0,0,0,0,,,3045481,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Unspecified,Unspecified,,,GRAND CENTRAL PARKWAY           ,2013-05-24T17:00:00,,,,0,0,1,0,0,0,1,0,,172 STREET                      ,235858,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,ASCAN AVENUE                    ,2013-05-08T14:30:00,,,,0,0,0,0,0,0,0,0,,BURNS STREET                    ,266002,SPORT UTILITY / STATION WAGON,VAN,,,,
,Unspecified,Unspecified,,,,WEST 232 STREET                 ,2013-05-08T09:19:00,,,,0,0,0,0,0,0,0,0,,CAMBRIDGE AVENUE                ,108185,PASSENGER VEHICLE,UNKNOWN,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,CANAL STREET                    ,2013-04-21T01:45:00,,,,0,0,0,0,0,0,0,0,,BOWERY                          ,7228,TAXI,SPORT UTILITY / STATION WAGON,,,,
,Glare,Unspecified,,,,FROST STREET                    ,2013-05-10T14:47:00,,,,0,0,0,0,0,0,0,0,,KINGSLAND AVENUE                ,199585,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Turning Improperly,Lost Consciousness,,,,95 STREET                       ,2013-04-18T11:00:00,,,,0,0,0,0,0,0,0,0,,4 AVENUE                        ,142599,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,,2013-05-10T17:00:00,,,,0,0,0,0,0,0,0,0,,,3122488,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,EAST 28 STREET                  ,2013-04-13T09:00:00,,,,0,0,0,0,0,0,0,0,,1 AVENUE                        ,23659,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2013-03-22T17:00:00,,,,0,0,0,0,0,0,0,0,2141 RALPH AVENUE(PARKING LOT)          ,,127498,PASSENGER VEHICLE,UNKNOWN,,,,
